Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
protein phosphatase 1 regulatory subunit 26 pseudogene 5	Approved	KIAA0649P5	22q11.21				ENSG00000232771	100133040
protein phosphatase 1 regulatory subunit 27	Approved	DYSFIP1	17q25.3	AF434846	NM_001007533		ENSG00000182676	116729
protein phosphatase 1 regulatory subunit 32	Approved	C11orf66	11q12.2	AK057333	NM_145017		ENSG00000162148	220004
protein phosphatase 1 regulatory subunit 35	Approved	C7orf47	7q22.1	BC026269	NM_145030		ENSG00000160813	221908
protein phosphatase 1 regulatory subunit 36	Approved	C14orf50	14q23.3		NM_172365		ENSG00000165807	145376
protein phosphatase 1 regulatory subunit 37	Approved	LRRC68	19q13.32	BC035704	NM_173634		ENSG00000104866	284352
protein phosphatase 1 regulatory subunit 42	Approved	LRRC67	8q13.1	BC055413	NM_001013626	617720	ENSG00000178125	286187
protein phosphatase 2 catalytic subunit alpha	Approved		5q31.1		NM_002715	176915	ENSG00000113575	5515
protein phosphatase 2 catalytic subunit beta	Approved		8p12		NM_001009552	176916	ENSG00000104695	5516
protein phosphatase 2 catalytic subunit beta pseudogene 1	Approved	PPP2CBP	16p11.2					5517
protein phosphatase 2 scaffold subunit Aalpha	Approved		19q13.41		NM_014225	605983	ENSG00000105568	5518
protein phosphatase 2 scaffold subunit Abeta	Approved		11q23.1	AF087438	NM_002716	603113	ENSG00000137713	5519
protein phosphatase 2 regulatory subunit Balpha	Approved		8p21.2	M64929	NM_002717	604941	ENSG00000221914	5520
protein phosphatase 2 regulatory subunit Bbeta	Approved	SCA12	5q32	M64930	NM_181678	604325	ENSG00000156475	5521
PPP2R2B intronic transcript 1	Approved		5q32				ENSG00000249553	100874361
protein phosphatase 2 regulatory subunit Bgamma	Approved		4p16.1	AF086924	NM_181876	605997	ENSG00000074211	5522
protein phosphatase 2 regulatory subunit Bdelta	Approved		10q26.3	AF220046	NM_018461	613992	ENSG00000175470	55844
protein phosphatase 2 regulatory subunit Bdelta pseudogene 1	Approved		3p22.2				ENSG00000231668	100327036
protein phosphatase 2 regulatory subunit B''alpha	Approved	PPP2R3	3q22.2-q22.3	L12146	NM_002718	604944	ENSG00000073711	5523
protein phosphatase 2 regulatory subunit B''beta	Approved	PPP2R3L	Xp22.3 and Yp11.3	AF215840	NM_013239	300339	ENSG00000167393	28227
protein phosphatase 2 regulatory subunit B''gamma	Approved	C14orf10	14q13.2	AK000651	NM_017917	615902	ENSG00000092020	55012
protein phosphatase 2 regulatory subunit B'alpha	Approved		1q32.3	BC022474	NM_006243	601643	ENSG00000066027	5525
protein phosphatase 2 regulatory subunit B'beta	Approved		11q13.1	L42374	NM_006244	601644	ENSG00000068971	5526
protein phosphatase 2 regulatory subunit B'gamma	Approved		14q32.31	L42375	NM_002719	601645	ENSG00000078304	5527
protein phosphatase 2 regulatory subunit B'gamma pseudogene	Approved		3p21.3	AF411591				140921
protein phosphatase 2 regulatory subunit B'delta	Approved		6p21.1	L76702	NM_006245	601646	ENSG00000112640	5528
protein phosphatase 2 regulatory subunit B'epsilon	Approved		14q23.2	L76703	NM_006246	601647	ENSG00000154001	5529
protein phosphatase 3 catalytic subunit alpha	Approved	CALN, CALNA	4q24		NM_000944	114105	ENSG00000138814	5530
protein phosphatase 3 catalytic subunit beta	Approved	CALNB	10q22.2	M29551	NM_021132	114106	ENSG00000107758	5532
PPP3CB antisense RNA 1 (head to head)	Approved		10q22.2				ENSG00000221817	101929145
protein phosphatase 3 catalytic subunit gamma	Approved		8p21.3		NM_005605	114107	ENSG00000120910	5533
protein phosphatase 3 regulatory subunit B, alpha	Approved		2p14	M30773	NM_000945	601302	ENSG00000221823	5534
protein phosphatase 3 regulatory subunit B, beta	Approved		9q31.1	AF145026	NM_147180	613821	ENSG00000188386	5535
protein phosphatase 4 catalytic subunit	Approved		16p11.2		NM_002720	602035	ENSG00000149923	5531
protein phosphatase 4 regulatory subunit 1	Approved		18p11.22	AF111106	NM_005134	604908	ENSG00000154845	9989
PPP4R1 antisense RNA 1	Approved		18p11.22				ENSG00000263627	101927323
protein phosphatase 4 regulatory subunit 1 like (pseudogene)	Approved	C20orf192	20q13.32	AF119843	NR_003505		ENSG00000124224	55370
protein phosphatase 4 regulatory subunit 2	Approved		3p13	AJ271448	NM_174907	613822	ENSG00000163605	151987
protein phosphatase 4 regulatory subunit 3A	Approved	KIAA2010, SMEK1	14q32.12	AK000714	NM_032560	610351	ENSG00000100796	55671
protein phosphatase 4 regulatory subunit 3B	Approved	SMEK2	2p16.1	AB037808	NM_020463	610352	ENSG00000275052	57223
protein phosphatase 4 regulatory subunit 3C	Approved	SMEK3P, PPP4R3CP	Xp21.3		NR_002784		ENSG00000224960	139420
protein phosphatase 4 regulatory subunit 4	Approved	KIAA1622	14q32.2	AB046842, BC068491	NM_058237	616790	ENSG00000119698	57718
symbol withdrawn, see PPP5C	Symbol Withdrawn							
protein phosphatase 5 catalytic subunit	Approved	PPP5	19q13.32		NM_006247	600658	ENSG00000011485	5536
PPP5 tetratricopeptide repeat domain containing 1	Approved		19q13.32		NM_001205281		ENSG00000230510	100506012
protein phosphatase 6 catalytic subunit	Approved		9q33.3	AF035158	NM_016294	612725	ENSG00000119414	5537
protein phosphatase 6 catalytic subunit pseudogene	Approved		Xq22.3					100144631
protein phosphatase 6 regulatory subunit 1	Approved	KIAA1115, SAPS1	19q13.42	AB029038	NM_014931	610875	ENSG00000105063	22870
protein phosphatase 6 regulatory subunit 2	Approved	KIAA0685, SAPS2	22q13.33	AB014585	NM_014678	610877	ENSG00000100239	9701
protein phosphatase 6 regulatory subunit 2 pseudogene 1	Approved		21q11.2				ENSG00000233442	100631381
protein phosphatase 6 regulatory subunit 3	Approved	C11orf23, SAPS3	11q13	AF264779	NM_018312	610879	ENSG00000110075	55291
peroxisome proliferator-activated receptor gamma, coactivator-related 1	Approved		10q24.32	AF325193	NM_015062	617462	ENSG00000148840	23082
symbol withdrawn, see PPT1	Symbol Withdrawn							
palmitoyl-protein thioesterase 1	Approved	PPT	1p34.2	U44772	NM_000310	600722	ENSG00000131238	5538
palmitoyl-protein thioesterase 2	Approved		6p21.32	AF020543	NM_138717	603298	ENSG00000221988	9374
PPT2-EGFL8 readthrough (NMD candidate)	Approved		6p21.32				ENSG00000258388	100532746
PTC7 protein phosphatase homolog	Approved		12q24.11	AF385435	NM_139283	609668	ENSG00000196850	160760
peptidylprolyl isomerase domain and WD repeat containing 1	Approved		5q12.3	AK025679	NM_015342		ENSG00000113593	23398
pancreatic polypeptide	Approved		17q21.31		NM_002722	167780	ENSG00000108849	5539
pancreatic polypeptide 2, pseudogene	Approved	PPY2	17q11.2	AF222903	NR_002181	606638	ENSG00000265060	23614
polyglutamine binding protein 1	Approved	RENS1, MRXS8, SHS, MRX55, MRX2, MRXS3	Xp11.23	AJ005893	NM_001032381.1	300463	ENSG00000102103	10084
symbol withdrawn, see VPS37A	Symbol Withdrawn							
symbol withdrawn, see NOL7	Symbol Withdrawn							
polyglutamine binding protein 4	Approved		reserved					23685
symbol withdrawn, see NOL10	Symbol Withdrawn							
PQ loop repeat containing 1	Approved		18q23	AK123870	NM_025078		ENSG00000122490	80148
PQ loop repeat containing 1 pseudogene 1	Approved		7q21.13				ENSG00000231763	106479032
PQ loop repeat containing 1 pseudogene 2	Approved		4q21.22					100127906
PQ loop repeat containing 2	Approved		1p36.13	BC015324	NM_017765	614760	ENSG00000040487	54896
PQ loop repeat containing 2 like	Approved	C3orf55	3q25.32	BC029129	NM_001130002		ENSG00000174899	152078
PQ loop repeat containing 3	Approved	C2orf22	2p25.1	BC027625	NM_152391		ENSG00000162976	130814
proline rich protein gene cluster	Approved		12p13.2					5541
PRAC1 small nuclear protein	Approved	C17orf92, PRAC	17q21.32	AF331165	NM_032391	609819	ENSG00000159182	84366
PRAC2 small nuclear protein	Approved	C17orf93, NCRNA00253, HOXB13-AS1, HOXB-AS5	17q21.32	AF532777, BX106051		610787	ENSG00000229637	360205
protease associated domain containing 1	Approved	C2orf7	2p13.2	BC005069	NM_032319		ENSG00000135617	84279
protease associated domain containing 1 pseudogene 1	Approved		3p22.2				ENSG00000236165	645571
PRA1 domain family member 2	Approved		Xp11.23	BC021213	NM_007213	300840	ENSG00000243279	11230
PEAK1 related, kinase-activating pseudokinase 1	Approved		8p23.1	AK122582	NM_001080826	617344	ENSG00000275342	157285
p53 regulation associated lncRNA	Approved		17p13.1	AK128092			ENSG00000279296	109245082
PML-RARA regulated adaptor molecule 1	Approved		19p13.2	BC028012	NM_032152	606466	ENSG00000133246	84106
preferentially expressed antigen in melanoma	Approved	MAPE	22q11.22	U65011	NM_206953	606021	ENSG00000185686	23532
PRAME family member 1	Approved		1p36.21	AL049686	NM_023013		ENSG00000116721	65121
PRAME family member 2	Approved		1p36.21		NM_023014		ENSG00000120952	65122
PRAME family member 4	Approved		1p36.21		NM_001009611		ENSG00000243073	400735
PRAME family member 5	Approved	PRAMEF23	1p36.21		NM_001013407		ENSG00000270601	343068
PRAME family member 6	Approved		1p36.21		NM_001010889		ENSG00000232423	440561
PRAME family member 7	Approved		1p36.21		NM_001012277		ENSG00000204510	441871
PRAME family member 8	Approved		1p36.21		NM_001012276		ENSG00000182330	391002
PRAME family member 9	Approved		1p36.21	AK124292	NM_001010890		ENSG00000204505	343070
PRAME family member 10	Approved		1p36.21	AL049682	NM_001039361		ENSG00000187545	343071
PRAME family member 11	Approved		1p36.21	AL049680	NM_001146344		ENSG00000239810	440560
PRAME family member 12	Approved		1p36.21		NM_001080830		ENSG00000116726	390999
PRAME family member 13	Approved		1p36.21		NM_001291380		ENSG00000279169	400736
PRAME family member 14	Approved		1p36.21		NM_001099854		ENSG00000204481	729528
PRAME family member 15	Approved		1p36.21		NM_001098376		ENSG00000204501	653619
PRAME family member 17	Approved		1p36.21		NM_001099851		ENSG00000204479	391004
PRAME family member 18	Approved		1p36.21		NM_001099850		ENSG00000279804	391003
PRAME family member 19	Approved		1p36.21		NM_001099790		ENSG00000204480	645414
PRAME family member 20	Approved	PRAMEF21	1p36.21		NM_001099852		ENSG00000204478	645425
symbol withdrawn, see PRAMEF20	Symbol Withdrawn							
PRAME family member 22	Approved		1p36.21 alternate reference locus		NM_001100631			653606
symbol withdrawn, see PRAMEF5	Symbol Withdrawn							
PRAME family member 25	Approved		1p36.21				ENSG00000229571	441873
PRAME family member 26	Approved		1p36.21				ENSG00000280267	645359
PRAME family member 27	Approved		1p36.21				ENSG00000274764	101929983
PRAME family member 28, pseudogene	Approved	PRAMEF28	1p36.21				ENSG00000274178	102724742
PRAME family member 29, pseudogene	Approved		1p36.21				ENSG00000234064	729356
PRAME family member 30, pseudogene	Approved		1p36.21				ENSG00000231103	441870
PRAME family member 31, pseudogene	Approved		1p36.21				ENSG00000250894	100129611
PRAME family member 32, pseudogene	Approved		1p36.21				ENSG00000231219	650236
PRAME family member 33	Approved	PRAMEF33P	1p36.21				ENSG00000237700	645382
PRAME family member 34, pseudogene	Approved		1p36.21				ENSG00000277862	649324
PRAME family member 35, pseudogene	Approved		1p36.21				ENSG00000236179	100419649
PRAME family member 36, pseudogene	Approved		1p36.21				ENSG00000229978	645354
PRAME N-terminal-like, pseudogene	Approved	PRAMEL, PRAMEF24P	22q11.22				ENSG00000197549	649179
proline rich acidic protein 1	Approved		10q26.3	AF421885	NM_145202	609776	ENSG00000165828	118471
proline rich protein BstNI subfamily 1	Approved		12p13.2		NM_005039	180989	ENSG00000251655	5542
proline rich protein BstNI subfamily 2	Approved		12p13.2	K03208	NM_006248	168810	ENSG00000121335	653247
proline rich protein BstNI subfamily 3	Approved		12p13.2		NM_006249	168840	ENSG00000197870	5544
proline rich protein BstNI subfamily 4	Approved		12p13.2		NM_002723	180990	ENSG00000230657	5545
protein regulator of cytokinesis 1	Approved		15q26.1	AF044588	NM_003981	603484	ENSG00000198901	9055
PRC1 antisense RNA 1	Approved		15q26.1				ENSG00000258725	100507118
proline rich mitotic checkpoint control factor	Approved		1q23.1	X99720	NM_005973	179755	ENSG00000143294	5546
photoreceptor disc component	Approved		17q25.1	DQ390338		610598	ENSG00000214140	768206
prolylcarboxypeptidase	Approved		11q14	BC001500, BI827978, L13977	NM_005040	176785	ENSG00000137509	5547
primary retinal dysplasia	Approved		Xp11.3			312550		5548
PR/SET domain 1	Approved	BLIMP1	6q21			603423	ENSG00000057657	639
PR/SET domain 2	Approved		1p36.21	U17838	NM_012231	601196	ENSG00000116731	7799
PR/SET domain 4	Approved		12q23.3	AF144757	NM_012406	605780	ENSG00000110851	11108
PR/SET domain 5	Approved		4q27	AF272897		614161	ENSG00000138738	11107
PR/SET domain 6	Approved		5q23.2	AF272898	NM_001136239	616982	ENSG00000061455	93166
PR/SET domain 7	Approved		16q24.3	AF274347		609759	ENSG00000126856	11105
PR/SET domain 8	Approved		4q21.21	AF275815		616639	ENSG00000152784	56978
PR/SET domain 9	Approved	MSBP3	5p14.2	AF275816	NM_020227	609760	ENSG00000164256	56979
PR/SET domain 10	Approved		11q24.3	AF275817	NM_199437		ENSG00000170325	56980
PR/SET domain 11	Approved		11p11.2	AF275818	NM_020229	616347	ENSG00000019485	56981
PR/SET domain 12	Approved		9q34.12	AY004252	NM_021619	616458	ENSG00000130711	59335
PR/SET domain 13	Approved		6q16.2	AY004253		616741	ENSG00000112238	59336
PR/SET domain 14	Approved		8q13.3	AF319458		611781	ENSG00000147596	63978
PR/SET domain 15	Approved	ZNF298, C21orf83	21q22.3	AF276513	NM_022115	617692	ENSG00000141956	63977
PR/SET domain 16	Approved		1p36.32	AF294278	NM_022114	605557	ENSG00000142611	63976
peroxiredoxin 1	Approved	PAGA	1p34.1	BC021683	NM_181697	176763	ENSG00000117450	5052
peroxiredoxin 1 pseudogene 1	Approved	PAGB, TDPX2	9p23	X72297			ENSG00000214121	7002
peroxiredoxin 2	Approved	TDPX1	19p13.13		NM_005809	600538	ENSG00000167815	7001
peroxiredoxin 2 pseudogene 1	Approved		13q12.3		NG_002915		ENSG00000215049	359844
peroxiredoxin 2 pseudogene 2	Approved		10p11.21		NG_022167		ENSG00000213724	646218
peroxiredoxin 2 pseudogene 3	Approved		5q35.3		NG_024751		ENSG00000249140	100418943
peroxiredoxin 2 pseudogene 4	Approved		6q16.3		NG_022363		ENSG00000213177	442239
peroxiredoxin 3	Approved	AOP1	10q26.11	D49396	NM_006793	604769	ENSG00000165672	10935
peroxiredoxin 3 pseudogene 1	Approved		22q13.1				ENSG00000229598	100419031
peroxiredoxin 3 pseudogene 2	Approved		1p35.3				ENSG00000231468	100128092
peroxiredoxin 3 pseudogene 3	Approved		13q13.3				ENSG00000234701	100128902
peroxiredoxin 3 pseudogene 4	Approved		3p14.1				ENSG00000239926	100418955
peroxiredoxin 4	Approved		Xp22.11	U25182	NM_006406	300927	ENSG00000123131	10549
peroxiredoxin 4 pseudogene 1	Approved		4p12				ENSG00000248987	100418949
peroxiredoxin 4 pseudogene 2	Approved		5p13.2		NG_024668			100418942
peroxiredoxin 5	Approved		11q13.1	AF197952	NM_181651	606583	ENSG00000126432	25824
peroxiredoxin 6	Approved		1q25.1	D14662	NM_004905	602316	ENSG00000117592	9588
prolactin regulatory element binding	Approved		2p23.3		NM_013388	606395	ENSG00000138073	10113
PRELI domain containing 1	Approved		5q35.3	BC013748	NM_013237	605733	ENSG00000169230	27166
PRELI domain containing 1 pseudogene 1	Approved		6q22.32		NG_022903		ENSG00000217325	728666
PRELI domain containing 1 pseudogene 2	Approved		6p22.2				ENSG00000217408	100419971
PRELI domain containing 1 pseudogene 3	Approved		10q21.3				ENSG00000235816	100420046
PRELI domain containing 1 pseudogene 4	Approved		15q14				ENSG00000259592	390572
PRELI domain containing 2	Approved		5q32	AK095695	NM_182960		ENSG00000186314	153768
PRELI domain containing 2 pseudogene 1	Approved		12q15				ENSG00000257336	102606462
PRELI domain containing 3A	Approved	C18orf43, SLMO1	18p11.21	AK056046	NM_006553	616545	ENSG00000141391	10650
PRELI domain containing 3B	Approved	C20orf45, SLMO2	20q13.32	AF151865	NM_016045		ENSG00000101166	51012
PRELI domain containing 3B pseudogene 1	Approved	SLMO2P1	1q41				ENSG00000226226	100129664
PRELI domain containing 3B pseudogene 2	Approved	SLMO2P2	13q14.3				ENSG00000271242	106481667
PRELI domain containing 3B pseudogene 3	Approved	SLMO2P3	17q23.2				ENSG00000264907	100128712
PRELI domain containing 3B pseudogene 4	Approved		5p12				ENSG00000251163	100420275
PRELI domain containing 3B pseudogene 5	Approved		5p12				ENSG00000251656	106480242
PRELI domain containing 3B pseudogene 6	Approved		5p12				ENSG00000249516	100132940
PRELI domain containing 3B pseudogene 7	Approved		5p12				ENSG00000250711	730974
PRELI domain containing 3B pseudogene 8	Approved		5q23.1				ENSG00000270741	106480243
PRELI domain containing 3B pseudogene 9	Approved		5q32					100420277
PRELI domain containing 3B pseudogene 10	Approved		7q31.33				ENSG00000236105	646873
PRELI domain containing 3B pseudogene 11	Approved	SLMO2P11	9p24.1				ENSG00000231108	102723314
proline and arginine rich end leucine rich repeat protein	Approved		1q32.1	BC032498	NM_002725	601914	ENSG00000188783	5549
prolyl endopeptidase	Approved		6q21			600400	ENSG00000085377	5550
prolyl endopeptidase like	Approved		2p21	AB007896	NM_006036	609557	ENSG00000138078	9581
phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	Approved		20q13.13	AB037836	NM_020820	606905	ENSG00000124126	57580
phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	Approved	DEPDC2	8q13.2	AK024079	NM_025170	612139	ENSG00000046889	80243
perforin 1	Approved		10q22.1	BC047695	NM_005041	170280	ENSG00000180644	5551
proteoglycan 2, pro eosinophil major basic protein	Approved		11q12.1	BC005929	NM_002728	605601	ENSG00000186652	5553
proteoglycan 3, pro eosinophil major basic protein 2	Approved		11q12.1	AF132209	NM_006093	606814	ENSG00000156575	10394
proteoglycan 4	Approved	CACP	1q31.1	U70136	NM_005807	604283	ENSG00000116690	10216
symbol withdrawn, see GART	Symbol Withdrawn							
proline rich protein HaeIII subfamily 1	Approved		12p13.2		NM_006250	168730	ENSG00000231887	5554
proline rich protein HaeIII subfamily 2	Approved		12p13.2		NM_001110213	168790	ENSG00000134551	5555
symbol withdrawn, see HHEX	Symbol Withdrawn							
prickle planar cell polarity protein 1	Approved		12q12	AK056499		608500	ENSG00000139174	144165
prickle planar cell polarity protein 2	Approved		3p14.1	AK127839	NM_198859	608501	ENSG00000163637	166336
PRICKLE2 antisense RNA 1	Approved		3p14.1				ENSG00000241572	100652759
PRICKLE2 antisense RNA 2	Approved		3p14.1				ENSG00000241101	100874242
PRICKLE2 antisense RNA 3	Approved		3p14.1				ENSG00000226017	100874243
prickle planar cell polarity protein 3	Approved	LMO6	Xp11.23	BC016856	NM_006150	300111	ENSG00000012211	4007
prickle planar cell polarity protein 4	Approved	C6orf49	6p21.1	AF216754	NM_013397	611389	ENSG00000278224	29964
DNA primase subunit 1	Approved		12q13.3	BC005266	NM_000946	176635	ENSG00000198056	5557
DNA primase subunit 2	Approved	PRIM2A	6p11.2		NM_000947	176636	ENSG00000146143	5558
proline rich membrane anchor 1	Approved		14q32.12		NM_178013	613851	ENSG00000175785	145270
primase and DNA directed polymerase	Approved	CCDC111	4q35.1	AK057729	NM_152683	615421	ENSG00000164306	201973
psoriasis associated non-protein coding RNA induced by stress	Approved		10p12.1	AK022045				100169750
